# Version 1.8.0 / 2024-07-22,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,
,,,,,,,,,,
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ and „freitexte->sonstige_angaben“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ und „freitexte->sonstige_angaben“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
post,,freitexte->sonstige_angaben+,post_content,,,,,,,
post,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,
# Taxonomies,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,no_appropriate_taxonomy_in_wp-listings,,Living Properties,,Wohnimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:GEWERBE,no_appropriate_taxonomy_in_wp-listings,,Commercial Properties,,Gewerbeimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:ANLAGE,no_appropriate_taxonomy_in_wp-listings,,Investment,,Kapitalanlage,,,
#taxonomy,,objektkategorie->nutzungsart:WAZ,no_appropriate_taxonomy_in_wp-listings,,Temporary Living,,Wohnen auf Zeit,,,
,,,,,,,,,,
taxonomy,,geo->ort,locations,,,,,,,
,,,,,,,,,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:DISCOTHEK,property-types,,Discotheque,Catering and Hotel Properties,Discothek,Gastronomie- und Hotellerie,1.0.2,2016-03-30
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RESTAURANT,property-types,,Restaurant,Catering and Hotel Properties,Restaurant,Gastronomie- und Hotellerie,1.0.2,2016-03-30
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RAUCHERLOKAL,property-types,,Smoker Pub,Catering and Hotel Properties,Raucherlokal,Gastronomie- und Hotellerie,1.0.2,2016-03-30
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:EINRAUMLOKAL,property-types,,Single-room Pub,Catering and Hotel Properties,Einraumlokal,Gastronomie- und Hotellerie,1.0.2,2016-03-30
taxonomy,,objektkategorie->objektart->hallen_lager_prod,property-types,,Hall / Warehouse / Production,Storage and Production Spaces,Halle / Lager / Produktion,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HALLE,property-types,,Hall,Storage and Production Spaces,Halle,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:INDUSTRIEHALLE,property-types,,Industrial Hall,Storage and Production Spaces,Industriehalle,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER,property-types,,Warehouse,Storage and Production Spaces,Lager,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGERFLAECHEN,property-types,,Warehousing Space,Storage and Production Spaces,Lagerfläche,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER_MIT_FREIFLAECHE,property-types,,Warehouse with Open Space,Storage and Production Spaces,Lager mit Freifläche,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HOCHREGALLAGER,property-types,,High-bay Warenhouse,Storage and Production Spaces,Hochregallager,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:SPEDITIONSLAGER,property-types,,Forwarding Agency Warehouse,Storage and Production Spaces,Speditionslager,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:PRODUKTION,property-types,,Production,Storage and Production Spaces,Produktion,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:WERKSTATT,property-types,,Workshop,Storage and Production Spaces,Werkstatt,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:SERVICE,property-types,,Service,Storage and Production Spaces,Service,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:FREIFLAECHEN,property-types,,Open Space,Storage and Production Spaces,Freifläche,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:KUEHLHAUS,property-types,,Cold Warehouse,Storage and Production Spaces,Kühlhaus,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft,property-types,,Agriculture and Forestry,Agriculture and Forestry Properties,Land- und Forstwirtschaft,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:LANDWIRTSCHAFTLICHE_BETRIEBE,property-types,,Agricultural Plant,Agriculture and Forestry Properties,Landwirtschaftlicher Betrieb,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:BAUERNHOF,property-types,,Farm,Agriculture and Forestry Properties,Bauernhof,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:AUSSIEDLERHOF,property-types,,Isolated Farmstead,Agriculture and Forestry Properties,Aussiedlerhof,Land- und Forstwirtschaft,,
