# Version 1.1.0 / 2024-07-22,,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Name,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,,
,,,,,,,,,,,
post,,,freitexte->objekttitel,post_title,,,,,,,
post,,,freitexte->objektbeschreibung,post_content,,,,,,,
post,,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,,
# Taxonomies,,,,,,,,,,,
,,,,,,,,,,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:BOOTSLIEGEPLATZ,property_type_taxonomy,,Berth,Parking Spaces,Bootsliegeplatz,Parken,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:EINZELGARAGE,property_type_taxonomy,,Single Garage,Parking Spaces,Einzelgarage,Parken,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:PARKPLATZ,property_type_taxonomy,,Parking Space,Parking Spaces,Parkplatz,Parken,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:TIEFGARAGENSTELLPLATZ,property_type_taxonomy,,Deep-level Car Space,Parking Spaces,Tiefgaragenstellplatz,Parken,,
#taxonomy,,,objektkategorie->objektart->parken:parken_typ:PARKPLATZ_STROM,property_type_taxonomy,,Car Space with Power Connector,Parking Spaces,Parkplatz mit Stromanschluss,Parken,,
#taxonomy,,,objektkategorie->objektart->sonstige,property_type_taxonomy,,Other Property,Miscellaneous Properties,Sonstige Immobilie,Sonstige Immobilien,,
#taxonomy,,,objektkategorie->objektart->sonstige:sonstige_typ:PARKHAUS,property_type_taxonomy,,Parking Garage,Miscellaneous Properties,Parkhaus,Sonstige Immobilien,,
#taxonomy,,,objektkategorie->objektart->sonstige:sonstige_typ:TANKSTELLE,property_type_taxonomy,,Gas Station,Miscellaneous Properties,Tankstelle,Sonstige Immobilien,,
#taxonomy,,,objektkategorie->objektart->sonstige:sonstige_typ:KRANKENHAUS,property_type_taxonomy,,Hospital,Miscellaneous Properties,Krankenhaus,Sonstige Immobilien,,
#taxonomy,,,objektkategorie->objektart->sonstige:sonstige_typ:SONSTIGE,property_type_taxonomy,,Other Property,Miscellaneous Properties,Sonstige Immobilie,Sonstige Immobilien,,
#taxonomy,,,objektkategorie->objektart->freizeitimmobilie_gewerblich,property_type_taxonomy,,Commercial Recreational Property,Commercial Leisure Properties,Gewerbliche Freizeitimmobilie,Gewerbliche Freizeitimmobilien,,
#taxonomy,,,objektkategorie->objektart->freizeitimmobilie_gewerblich:freizeit_typ:SPORTANLAGEN,property_type_taxonomy,,Sports Facility,Commercial Leisure Properties,Sportanlage,Gewerbliche Freizeitimmobilien,,
#taxonomy,,,objektkategorie->objektart->freizeitimmobilie_gewerblich:freizeit_typ:VERGNUEGUNGSPARKS_UND_CENTER,property_type_taxonomy,,Theme Park,Commercial Leisure Properties,Vergnügungspark / -center,Gewerbliche Freizeitimmobilien,,
#taxonomy,,,objektkategorie->objektart->freizeitimmobilie_gewerblich:freizeit_typ:FREIZEITANLAGE,property_type_taxonomy,,Recreational Facility,Commercial Leisure Properties,Freizeitanlage,Gewerbliche Freizeitimmobilien,,
#taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt,property_type_taxonomy,,Block of Flats / Income Property,Income Properties,Zinshaus / Renditeobjekt,Renditeobjekte,,
#taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:MEHRFAMILIENHAUS,property_type_taxonomy,,Multi-family House,Income Properties,Mehrfamilienhaus,Renditeobjekte,,
#taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:WOHN_UND_GESCHAEFTSHAUS,property_type_taxonomy,,Living and Commercial Property,Income Properties,Wohn- und Geschäftshaus,Renditeobjekte,,
#taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:GESCHAEFTSHAUS,property_type_taxonomy,,Commercial Property,Income Properties,Geschäftshaus,Renditeobjekte,,
#taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:BUEROGEBAEUDE,property_type_taxonomy,,Office Building,Income Properties,Bürogebäude,Renditeobjekte,,
#taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:SB_MAERKTE,property_type_taxonomy,,Self-service Market,Income Properties,SB-Markt,Renditeobjekte,,
#taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:EINKAUFSCENTREN,property_type_taxonomy,,Mall,Income Properties,Einkaufszentrum,Renditeobjekte,,
#taxonomy,,,objektkategorie->objektart->zinshaus_renditeobjekt:zins_typ:WOHNANLAGEN,property_type_taxonomy,,Residential Facility,Income Properties,Wohnanlage,Renditeobjekte,,
