# Version 2.1.0 / 2024-07-17,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,
,,,,,,,,,,
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ and „freitexte->sonstige_angaben“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ und „freitexte->sonstige_angaben“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->lage+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
post,,freitexte->sonstige_angaben+,post_content,,,,,,,
post,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,
# Taxonomies,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,no_appropriate_taxonomy_in_wp_residence,,Living Properties,,Wohnimmobilien,,,
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:PENSIONEN,property_category,,Pension,Catering and Hotel Properties,Pension,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:HOTELS,property_category,,Hotel,Catering and Hotel Properties,Hotel,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:WEITERE_BEHERBERGUNGSBETRIEBE,property_category,,Other Lodging Establishments,Catering and Hotel Properties,Beherbergungsbetrieb,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:BAR,property_category,,Bar,Catering and Hotel Properties,Bar,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:CAFE,property_category,,Café,Catering and Hotel Properties,Café,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:DISCOTHEK,property_category,,Discotheque,Catering and Hotel Properties,Discothek,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RESTAURANT,property_category,,Restaurant,Catering and Hotel Properties,Restaurant,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RAUCHERLOKAL,property_category,,Smoker Pub,Catering and Hotel Properties,Raucherlokal,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:EINRAUMLOKAL,property_category,,Single-room Pub,Catering and Hotel Properties,Einraumlokal,Gastronomie und Hotellerie,1.2.1,2016-12-19
taxonomy,,objektkategorie->objektart->hallen_lager_prod,property_category,,Hall / Warehouse / Production,Storage and Production Spaces,Halle / Lager / Produktion,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HALLE,property_category,,Hall,Storage and Production Spaces,Halle,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:INDUSTRIEHALLE,property_category,,Industrial Hall,Storage and Production Spaces,Industriehalle,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER,property_category,,Warehouse,Storage and Production Spaces,Lager,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGERFLAECHEN,property_category,,Warehousing Space,Storage and Production Spaces,Lagerfläche,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER_MIT_FREIFLAECHE,property_category,,Warehouse with Open Space,Storage and Production Spaces,Lager mit Freiflächen,Lager- und Produktionsflächen,1.4.0,2018-02-03
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HOCHREGALLAGER,property_category,,High-bay Warenhouse,Storage and Production Spaces,Hochregallager,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:SPEDITIONSLAGER,property_category,,Forwarding Agency Warehouse,Storage and Production Spaces,Speditionslager,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:PRODUKTION,property_category,,Production,Storage and Production Spaces,Produktion,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:WERKSTATT,property_category,,Workshop,Storage and Production Spaces,Werkstatt,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:SERVICE,property_category,,Service,Storage and Production Spaces,Service,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:FREIFLAECHEN,property_category,,Open Space,Storage and Production Spaces,Freifläche,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:KUEHLHAUS,property_category,,Cold Warehouse,Storage and Production Spaces,Kühlhaus,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft,property_category,,Agriculture and Forestry,Agriculture and Forestry Properties,Land- und Forstwirtschaft,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:LANDWIRTSCHAFTLICHE_BETRIEBE,property_category,,Agricultural Plant,Agriculture and Forestry Properties,Landwirtschaftlicher Betrieb,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:BAUERNHOF,property_category,,Farm,Agriculture and Forestry Properties,Bauernhof,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:AUSSIEDLERHOF,property_category,,Isolated Farmstead,Agriculture and Forestry Properties,Aussiedlerhof,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:GARTENBAU,property_category,,Gardening,Agriculture and Forestry Properties,Gartenbau,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:ACKERBAU,property_category,,Arable Farming,Agriculture and Forestry Properties,Ackerbau,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:WEINBAU,property_category,,Wine-growing,Agriculture and Forestry Properties,Weinbau,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:VIEHWIRTSCHAFT,property_category,,Ranching,Agriculture and Forestry Properties,Viehwirtschaft,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:JAGD_UND_FORSTWIRTSCHAFT,property_category,,Hunting and Forestry,Agriculture and Forestry Properties,Jagd- und Forstwirtschaft,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:TEICH_UND_FISCHWIRTSCHAFT,property_category,,Fish Farming,Agriculture and Forestry Properties,Teich- und Fischwirtschaft,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:SCHEUNEN,property_category,,Barn,Agriculture and Forestry Properties,Scheune,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:REITERHOEFE,property_category,,Equestrian Center,Agriculture and Forestry Properties,Reiterhof,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:SONSTIGE_LANDWIRTSCHAFTSIMMOBILIEN,property_category,,Other Agricultural Properties,Agriculture and Forestry Properties,Sonstige Landwirtschaftsimmobilie,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:ANWESEN,property_category,,Estate,Agriculture and Forestry Properties,Anwesen,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->land_und_forstwirtschaft:land_typ:JAGDREVIER,property_category,,Hunting Ground,Agriculture and Forestry Properties,Jagdrevier,Land- und Forstwirtschaft,,
taxonomy,,objektkategorie->objektart->parken,property_category,,Parking,Parking Spaces,Parken,Parken,,
taxonomy,,objektkategorie->objektart->parken:parken_typ:STELLPLATZ,property_category,,Car Space,Parking Spaces,Stellplatz,Parken,,
taxonomy,,objektkategorie->objektart->parken:parken_typ:CARPORT,property_category,,Carport,Parking Spaces,Carport,Parken,,
taxonomy,,objektkategorie->objektart->parken:parken_typ:DOPPELGARAGE,property_category,,Double Garage,Parking Spaces,Doppelgarage,Parken,,
taxonomy,,objektkategorie->objektart->parken:parken_typ:DUPLEX,property_category,,Duplex,Parking Spaces,Duplex,Parken,,
taxonomy,,objektkategorie->objektart->parken:parken_typ:TIEFGARAGE,property_category,,Deep-level Garage,Parking Spaces,Tiefgarage,Parken,,
taxonomy,,objektkategorie->objektart->parken:parken_typ:BOOTSLIEGEPLATZ,property_category,,Berth,Parking Spaces,Bootsliegeplatz,Parken,1.4.0,2018-02-03
taxonomy,,objektkategorie->objektart->parken:parken_typ:EINZELGARAGE,property_category,,Single Garage,Parking Spaces,Einzelgarage,Parken,,
taxonomy,,objektkategorie->objektart->parken:parken_typ:PARKPLATZ,property_category,,Parking Space,Parking Spaces,Parkplatz,Parken,,
taxonomy,,objektkategorie->objektart->parken:parken_typ:TIEFGARAGENSTELLPLATZ,property_category,,Deep-level Car Space,Parking Spaces,Tiefgaragenstellplatz,Parken,,
taxonomy,,objektkategorie->objektart->parken:parken_typ:PARKPLATZ_STROM,property_category,,Car Space with Power Connector,Parking Spaces,Parkplatz mit Stromanschluss,Parken,,
taxonomy,,objektkategorie->objektart->sonstige,property_category,,Other Property,Miscellaneous Properties,Sonstige Immobilie,Sonstige Immobilien,,
taxonomy,,objektkategorie->objektart->sonstige:sonstige_typ:PARKHAUS,property_category,,Parking Garage,Miscellaneous Properties,Parkhaus,Sonstige Immobilien,,
