# Version 2.1.0 / 2024-07-22,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,
,,,,,,,,,,
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->lage+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
,,,,,,,,,,
# Taxonomy Terms,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,,,Living Properties,,Wohnimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:GEWERBE,,,Commercial Properties,,Gewerbeimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:ANLAGE,,,Investment,,Kapitalanlage,,,
#taxonomy,,objektkategorie->nutzungsart:WAZ,,,Temporary Living,,Wohnen auf Zeit,,,
#taxonomy,,freitexte->sonstige_angaben~Empfehlung,,,Featured Properties,,Empfehlungen,,,
taxonomy,,geo->ort,location,,,,,,,
,,,,,,,,,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:FACTORY_OUTLET,proptype,,Factory Outlet,Commercial Properties,Factory Outlet,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:KIOSK,proptype,,Kiosk,Commercial Properties,Kiosk,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:VERKAUFSFLAECHE,proptype,,Selling Space,Commercial Properties,Verkaufsfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->einzelhandel:handel_typ:AUSSTELLUNGSFLAECHE,proptype,,Exhibition Space,Commercial Properties,Ausstellungsfläche,Gewerbeobjekte,,
taxonomy,,objektkategorie->objektart->gastgewerbe,proptype,,Hospitality Industry,Catering and Hotel Properties,Gastgewerbe,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE,proptype,,Gastronomy,Catering and Hotel Properties,Gastronomie,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE_UND_WOHNUNG,proptype,,Gastronomy and Flat,Catering and Hotel Properties,Gastronomie und Wohnung,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:PENSIONEN,proptype,,Pension,Catering and Hotel Properties,Pension,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:HOTELS,proptype,,Hotel,Catering and Hotel Properties,Hotel,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:WEITERE_BEHERBERGUNGSBETRIEBE,proptype,,Other Lodging Establishments,Catering and Hotel Properties,Beherbergungsbetrieb,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:BAR,proptype,,Bar,Catering and Hotel Properties,Bar,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:CAFE,proptype,,Café,Catering and Hotel Properties,Café,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:DISCOTHEK,proptype,,Discotheque,Catering and Hotel Properties,Discothek,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RESTAURANT,proptype,,Restaurant,Catering and Hotel Properties,Restaurant,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RAUCHERLOKAL,proptype,,Smoker Pub,Catering and Hotel Properties,Raucherlokal,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->gastgewerbe:gastgew_typ:EINRAUMLOKAL,proptype,,Single-room Pub,Catering and Hotel Properties,Einraumlokal,Gastronomie und Hotellerie,1.2.0,2016-03-25
taxonomy,,objektkategorie->objektart->hallen_lager_prod,proptype,,Hall / Warehouse / Production,Storage and Production Spaces,Halle / Lager / Produktion,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HALLE,proptype,,Hall,Storage and Production Spaces,Halle,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:INDUSTRIEHALLE,proptype,,Industrial Hall,Storage and Production Spaces,Industriehalle,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER,proptype,,Warehouse,Storage and Production Spaces,Lager,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGERFLAECHEN,proptype,,Warehousing Space,Storage and Production Spaces,Lagerfläche,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:LAGER_MIT_FREIFLAECHE,proptype,,Warehouse with Open Space,Storage and Production Spaces,Lager mit Freifläche,Lager- und Produktionsflächen,1.6.0,2018-01-02
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HOCHREGALLAGER,proptype,,High-bay Warenhouse,Storage and Production Spaces,Hochregallager,Lager- und Produktionsflächen,,
taxonomy,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:SPEDITIONSLAGER,proptype,,Forwarding Agency Warehouse,Storage and Production Spaces,Speditionslager,Lager- und Produktionsflächen,,
