# Version 1.5.7 / 2025-04-29,,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Name,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,,
,,,,,,,,,,,
post,,,freitexte->objekttitel,post_title,,,,,,,
post,,,freitexte->objektbeschreibung,post_content,,,,,,,
post,,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,,
# Taxonomies,,,,,,,,,,,
,,,,,,,,,,,
taxonomy,,,objektkategorie->objektart->buero_praxen:buero_typ:SHARED_OFFICE,inx_property_type,,Shared Office,Commercial Properties,Gemeinschaftsbüro,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel,inx_property_type,,Retail,Commercial Properties,Einzelhandel,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:LADENLOKAL,inx_property_type,,Shop,Commercial Properties,Ladenlokal,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:EINZELHANDELSLADEN,inx_property_type,,Retail Store,Commercial Properties,Einzelhandelsladen,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:VERBRAUCHERMARKT,inx_property_type,,Store,Commercial Properties,Verbrauchermarkt,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:EINKAUFSZENTRUM,inx_property_type,,Mall,Commercial Properties,Einkaufszentrum,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:KAUFHAUS,inx_property_type,,Department Store,Commercial Properties,Kaufhaus,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:FACTORY_OUTLET,inx_property_type,,Factory Outlet,Commercial Properties,Factory Outlet,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:KIOSK,inx_property_type,,Kiosk,Commercial Properties,Kiosk,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:VERKAUFSFLAECHE,inx_property_type,,Selling Space,Commercial Properties,Verkaufsfläche,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->einzelhandel:handel_typ:AUSSTELLUNGSFLAECHE,inx_property_type,,Exhibition Space,Commercial Properties,Ausstellungsfläche,Gewerbeobjekte,,
taxonomy,,,objektkategorie->objektart->gastgewerbe,inx_property_type,,Hospitality Industry,Catering and Hotel Properties,Gastgewerbe,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE,inx_property_type,,Gastronomy,Catering and Hotel Properties,Gastronomie,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:GASTRONOMIE_UND_WOHNUNG,inx_property_type,,Gastronomy and Flat,Catering and Hotel Properties,Gastronomie und Wohnung,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:PENSIONEN,inx_property_type,,Pension,Catering and Hotel Properties,Pension,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:HOTELS,inx_property_type,,Hotel,Catering and Hotel Properties,Hotel,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:WEITERE_BEHERBERGUNGSBETRIEBE,inx_property_type,,Other Lodging Establishments,Catering and Hotel Properties,Beherbergungsbetrieb,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:BAR,inx_property_type,,Bar,Catering and Hotel Properties,Bar,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:CAFE,inx_property_type,,Café,Catering and Hotel Properties,Café,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:DISCOTHEK,inx_property_type,,Discotheque,Catering and Hotel Properties,Discothek,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RESTAURANT,inx_property_type,,Restaurant,Catering and Hotel Properties,Restaurant,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:RAUCHERLOKAL,inx_property_type,,Smoker Pub,Catering and Hotel Properties,Raucherlokal,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->gastgewerbe:gastgew_typ:EINRAUMLOKAL,inx_property_type,,Single-room Pub,Catering and Hotel Properties,Einraumlokal,Gastronomie- und Hotellerie,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod,inx_property_type,,Hall / Warehouse / Production,Storage and Production Spaces,Halle / Lager / Produktion,Lager- und Produktionsflächen,,
taxonomy,,,objektkategorie->objektart->hallen_lager_prod:hallen_typ:HALLE,inx_property_type,,Hall,Storage and Production Spaces,Halle,Lager- und Produktionsflächen,,
